Course Code,Course Title,Department,Semester,LTPSC,Faculty,Strength,Type,Basket
HS301,Neuro-Linguistic Programming (NLP),DSAI,3,1-0-0-0-1,Dr. Manjunath K V,80,core,
HS302,Leadership I,DSAI,3,1-0-0-0-1,Dr. Jagadeesha R Bhat,80,core,
HS303,Sociology for Innovation,DSAI,3,1-0-0-0-1,Dr. Anushree Kini,80,core,
HS304,Social Impact of Technology,DSAI,3,1-0-0-0-1,Dr. Rajesh Kumar,80,core,
HS305,Holistic Personality Development,DSAI,3,1-0-0-0-1,Dr. Rajesh N S,80,core,
EC251,Electronics System Design-I,DSAI,3,2-0-0-0-2,Dr. Pankaj,80,elective,
EC252,Introduction of RFIC Design,DSAI,3,2-0-0-0-2,Dr. Rajesh Kumar,80,elective,
CS253,Introduction to Embedded Signal Intelligence,DSAI,3,2-0-0-0-2,Dr. Sibasankar Padhy,80,elective,
EC254,Electronic Systems Engineering,DSAI,3,2-0-0-0-2,Mr. Mallikarjun Kande,80,elective,
CS152,Data Science with Python,DSAI,3,2-0-0-0-2,Dr. Abdul Wahid,80,elective,
ASD252,User Interactions and Experience Design,DSAI,3,4-0-0-0-4,Dr. Sandesh P,80,elective,
CS309,Statistics for Computer Science,CSE,5,3-1-0-0-4,Dr. Sunil C K - Section A,80,core,
CS303,Computer Networks,CSE,5,3-1-2-0-5,Dr. Animesh Roy - Section A,80,core,
CS304,Artificial Intelligence,CSE,5,3-1-0-0-4,Dr. Girish - Section B,80,core,
HS101,Environmental studies,CSE,5,3-0-0-0-2,TBD,80,core,
CS463,Parallel computing,CSE,5,4-0-0-0-4,Dr. Pramod,80,elective,
CS308,Compiler Design,CSE,5,4-0-0-0-4,Dr. Pawan Kumar,80,elective,
DS301,Graphs and Social Network,CSE,5,4-0-0-0-4,Dr. Utkarsh K,80,elective,
CS366,Advanced Algorithm Design,CSE,5,4-0-0-0-4,Dr. Suvadip,80,elective,
DS359,Full Stack Development,CSE,5,4-0-0-0-4,Dr. Manjunath K V,80,elective,
EC355,Internet of Things,CSE,5,4-0-0-0-4,Dr. Prakash Pawar,80,elective,
EC364,Semiconductor Device Modeling,CSE,5,4-0-0-0-4,Dr. Pankaj Kumar,80,elective,
CS352,Cryptography & Information Security,CSE,5,4-0-0-0-4,Dr. Rajendra Hegadi,80,elective,
ASD352,User Interactions and Experience Design,CSE,5,4-0-0-0-4,Dr. Sandesh P,80,elective,
EC365,AI in Biomedical Signal Interpretation,CSE,5,4-0-0-0-4,Dr. Sibasankar Padhy,80,elective,
DS302,Computer Communication Networks,DSAI,5,3-1-2-0-5,Dr. Shirshendu Layek,80,core,
DS303,Algorithms and Artificial Intelligence,DSAI,5,3-1-0-0-4,Dr. Animesh Chaturvedi,80,core,
CS307,Machine Learning,DSAI,5,3-0-2-0-4,Dr. Siddharth,80,core,
CS463,Parallel computing,DSAI,5,4-0-0-0-4,Dr. Pramod,80,elective,
CS308,Compiler Design,DSAI,5,4-0-0-0-4,Dr. Pawan Kumar,80,elective,
DS301,Graphs and Social Network,DSAI,5,4-0-0-0-4,Dr. Utkarsh K,80,elective,
CS366,Advanced Algorithm Design,DSAI,5,4-0-0-0-4,Dr. Suvadip,80,elective,
DS359,Full Stack Development,DSAI,5,4-0-0-0-4,Dr. Manjunath K V,80,elective,
EC355,Internet of Things,DSAI,5,4-0-0-0-4,Dr. Prakash Pawar,80,elective,
EC364,Semiconductor Device Modeling,DSAI,5,4-0-0-0-4,Dr. Pankaj Kumar,80,elective,
CS352,Cryptography & Information Security,DSAI,5,4-0-0-0-4,Dr. Rajendra Hegadi,80,elective,
ASD352,User Interactions and Experience Design,DSAI,5,4-0-0-0-4,Dr. Sandesh P,80,elective,
EC365,AI in Biomedical Signal Interpretation,DSAI,5,4-0-0-0-4,Dr. Sibasankar Padhy,80,elective,
EC401,Digital Signal Processing,ECE,5,3-0-2-0-4,Dr. Sibasankar Padhy,80,core,
EC402,Introduction to VLSI Design,ECE,5,3-1-0-0-4,Dr. Jagadish D N,80,core,
CS263,Introduction to Algorithms,ECE,5,3-1-0-0-4,Dr. Jagadish K B,80,core,
HS401,Happiness & Wellbeing,ECE,5,1-0-0-0-3,Dr. Chandrika Kumar,80,core,
CS463,Parallel computing,ECE,5,4-0-0-0-4,Dr. Pramod,80,elective,
CS308,Compiler Design,ECE,5,4-0-0-0-4,Dr. Pawan Kumar,80,elective,
DS301,Graphs and Social Network,ECE,5,4-0-0-0-4,Dr. Utkarsh K,80,elective,
EC366,Semiconductor Device Modelling,ECE,5,4-0-0-0-4,Dr. Pankaj Kumar,80,elective,
CS366,Advanced Algorithm Design,ECE,5,4-0-0-0-4,Dr. Suvadip,80,elective,
DS359,Full Stack Development,ECE,5,4-0-0-0-4,Dr. Manjunath K V,80,elective,
EC355,Internet of Things,ECE,5,4-0-0-0-4,Dr. Prakash Pawar,80,elective,
CS352,Cryptography & Information Security,ECE,5,4-0-0-0-4,Dr. Rajendra Hegadi,80,elective,
ASD352,User Interactions and Experience Design,ECE,5,4-0-0-0-4,Dr. Sandesh P,80,elective,
EC365,AI in Biomedical Signal Interpretation,ECE,5,4-0-0-0-4,Dr. Sibasankar Padhy,80,elective
